YEAR,MONTH,BENE_GEO_LVL,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_COUNTY_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,AGED_TOT_BENES,AGED_ESRD_BENES,AGED_NO_ESRD_BENES,DSBLD_TOT_BENES,DSBLD_ESRD_AND_ESRD_ONLY_BENES,DSBLD_NO_ESRD_BENES,MALE_TOT_BENES,FEMALE_TOT_BENES,WHITE_TOT_BENES,BLACK_TOT_BENES,API_TOT_BENES,HSPNC_TOT_BENES,NATIND_TOT_BENES,OTHR_TOT_BENES,AGE_LT_25_BENES,AGE_25_TO_44_BENES,AGE_45_TO_64_BENES,AGE_65_TO_69_BENES,AGE_70_TO_74_BENES,AGE_75_TO_79_BENES,AGE_80_TO_84_BENES,AGE_85_TO_89_BENES,AGE_90_TO_94_BENES,AGE_GT_94_BENES,DUAL_TOT_BENES,FULL_DUAL_TOT_BENES,PART_DUAL_TOT_BENES,NODUAL_TOT_BENES,QMB_ONLY_BENES,QMB_PLUS_BENES,SLMB_ONLY_BENES,SLMB_PLUS_BENES,QDWI_QI_BENES,OTHR_FULL_DUAL_MDCD_BENES,A_B_TOT_BENES,A_B_ORGNL_MDCR_BENES,A_B_MA_AND_OTH_BENES,A_TOT_BENES,A_ORGNL_MDCR_BENES,A_MA_AND_OTH_BENES,B_TOT_BENES,B_ORGNL_MDCR_BENES,B_MA_AND_OTH_BENES,PRSCRPTN_DRUG_TOT_BENES,PRSCRPTN_DRUG_PDP_BENES,PRSCRPTN_DRUG_MAPD_BENES,PRSCRPTN_DRUG_DEEMED_ELIGIBLE_FULL_LIS_BENES,PRSCRPTN_DRUG_FULL_LIS_BENES,PRSCRPTN_DRUG_PARTIAL_LIS_BENES,PRSCRPTN_DRUG_NO_LIS_BENES
2013,Year,National,US,National,Total,     ,52425659,37613096,14812563,43761388,234590,43526798,8664271,243169,8421102,23775022,28650637,39946313,5357790,1520608,4554525,237602,808821,121178,1820241,6722853,13208761,10738425,7762628,5734428,3869249,1815059,632839,9586391,6902306,2684085,42839268,1255441,5080416,911131,245201,517513,1576689,47620905,32831884,14789022,52087121,37297881,14789240,47959444,33147099,14812345,35679758,22661451,13018307,10000861,1030113,409204,24239580
2013,Year,State,AL,Alabama,Total,01,921477,711448,210029,698720,4134,694586,222758,5315,217442,413241,508237,697285,208597,3723,5319,846,5708,2717,45200,174841,218945,177096,128998,88690,54180,22971,7840,200646,86784,113862,720831,61860,70309,34764,3748,17239,12727,857619,647647,209972,916105,706130,209975,862992,652965,210026,637247,437749,199498,205496,32790,11452,387510
2013,Year,County,AL,Alabama,Autauga County,01001,9323,6484,2840,7088,43,7045,2235,39,2196,4181,5142,7574,1581,39,60,*,*,23,512,1699,2243,1934,1383,844,439,178,67,1791,695,1096,7532,573,574,344,24,178,97,8708,5868,2840,9289,6449,2840,8742,5902,2840,6036,3268,2767,1839,296,105,3796
2013,Year,County,AL,Alabama,Baldwin County,01003,41033,28775,12258,34162,113,34049,6871,114,6756,19265,21768,37231,2915,109,369,122,287,73,1247,5551,10804,9162,6385,4025,2482,1045,259,5119,1773,3347,35913,1753,1395,1055,110,538,268,38559,26304,12255,40940,28685,12255,38651,26393,12258,27352,15593,11759,5276,867,379,20830
2013,Year,County,AL,Alabama,Barbour County,01005,5847,5036,810,4257,49,4208,1590,48,1541,2608,3239,3283,2500,*,15,*,39,30,303,1257,1403,1057,752,506,321,154,65,1755,842,913,4092,527,720,261,15,125,107,5456,4645,810,5788,4977,810,5515,4704,810,4170,3410,759,1783,304,73,2009
2013,Year,County,AL,Alabama,Bibb County,01007,4574,2994,1580,3078,18,3060,1496,24,1472,2128,2446,3739,797,*,17,*,14,23,317,1156,1016,853,559,338,196,84,32,1272,601,671,3302,368,515,200,31,103,56,4338,2759,1580,4555,2975,1580,4357,2778,1580,3359,1850,1509,1298,228,85,1749
2013,Year,County,AL,Alabama,Blount County,01009,11183,6695,4488,8601,30,8571,2582,26,2556,5162,6022,10868,142,17,107,*,*,32,497,2053,2804,2327,1613,1039,547,209,63,2240,762,1477,8944,749,621,442,40,287,102,10502,6014,4488,11162,6674,4488,10523,6035,4488,8479,4148,4331,2302,387,174,5616
2013,Year,County,AL,Alabama,Bullock County,01011,1886,1434,452,1320,17,1303,566,15,551,820,1066,492,1381,0,*,0,*,*,*,451,397,333,249,186,78,44,35,724,380,344,1162,198,315,105,20,41,45,1719,1267,452,1855,1403,452,1750,1298,452,1446,1006,440,738,133,23,552
2013,Year,County,AL,Alabama,Butler County,01013,4576,4151,425,3311,26,3285,1265,40,1224,2009,2567,2878,1665,*,*,*,18,14,228,1023,1016,765,595,476,295,113,51,1369,629,740,3207,390,539,254,23,96,67,4336,3911,425,4535,4110,425,4377,3952,425,3428,3030,397,1394,226,70,1737
2013,Year,County,AL,Alabama,Calhoun County,01015,25108,22073,3036,18380,99,18280,6728,135,6594,11012,14096,20801,3850,89,139,17,213,58,1383,5288,5735,4597,3503,2433,1432,530,150,5530,2286,3244,19579,1766,1899,993,98,485,289,23187,20151,3036,24999,21963,3036,23296,20261,3036,15167,12254,2913,5648,899,299,8321
2013,Year,County,AL,Alabama,Chambers County,01017,8335,7002,1333,5876,42,5834,2459,56,2403,3616,4719,5375,2882,*,24,*,42,21,434,2004,1874,1468,1027,745,450,234,78,2101,857,1244,6234,596,672,414,41,235,144,7901,6568,1333,8274,6941,1333,7963,6630,1333,6027,4717,1310,2146,514,198,3169
2013,Year,County,AL,Alabama,Cherokee County,01019,6408,4989,1419,4689,29,4661,1719,26,1692,3053,3355,6085,258,*,21,*,39,13,334,1371,1608,1279,915,482,276,109,21,1475,520,955,4933,483,417,300,26,172,78,6080,4662,1419,6383,4964,1419,6106,4687,1419,4708,3382,1326,1512,303,108,2785
2013,Year,County,AL,Alabama,Chilton County,01021,8351,4755,3596,6069,25,6044,2282,37,2246,3885,4466,7443,809,*,50,*,37,22,419,1842,1999,1597,1087,778,386,166,55,2014,770,1244,6337,639,628,389,42,216,100,7863,4267,3596,8306,4710,3596,7908,4312,3596,6361,2854,3507,2085,300,119,3857
2013,Year,County,AL,Alabama,Choctaw County,01023,3636,3381,255,2604,18,2586,1032,17,1015,1691,1944,2131,1489,*,*,*,*,*,*,856,801,649,490,325,212,86,42,1014,500,515,2621,319,409,133,23,63,68,3502,3247,255,3606,3351,255,3532,3277,255,2673,2453,220,1037,203,58,1374
2013,Year,County,AL,Alabama,Clarke County,01025,5860,4812,1048,4296,29,4267,1564,60,1504,2751,3109,3478,2346,*,*,*,18,24,368,1172,1295,1106,833,570,300,134,59,1572,802,770,4289,440,678,224,27,107,97,5544,4496,1048,5826,4778,1048,5579,4531,1048,4506,3486,1020,1605,279,81,2542
2013,Year,County,AL,Alabama,Clay County,01027,3303,2910,393,2432,*,*,871,12,860,1504,1799,2783,474,*,23,*,20,*,*,689,741,628,447,323,199,67,27,841,356,485,2462,249,260,162,32,73,64,3112,2719,393,3280,2886,393,3136,2742,393,2268,1912,356,864,166,62,1176
2013,Year,County,AL,Alabama,Cleburne County,01029,3331,2936,395,2514,*,*,817,12,805,1593,1739,3150,127,*,25,0,*,*,*,653,783,705,460,310,163,61,33,790,296,494,2542,238,227,177,17,78,52,3115,2720,395,3313,2918,395,3134,2739,395,2291,1913,378,803,151,45,1292
2013,Year,County,AL,Alabama,Coffee County,01031,9504,8700,804,7509,44,7464,1996,45,1951,4255,5250,7690,1580,47,112,*,*,23,407,1566,2378,1825,1449,976,563,248,70,1901,877,1024,7603,599,691,279,52,145,134,8990,8187,803,9469,8666,803,9026,8221,804,5441,4690,751,1935,304,101,3100
2013,Year,County,AL,Alabama,Colbert County,01033,12951,11791,1160,9783,63,9720,3168,58,3110,5801,7150,10726,2076,23,40,*,*,47,578,2543,2879,2575,1862,1265,778,334,91,2764,1171,1593,10187,889,936,499,64,205,171,12346,11188,1158,12896,11739,1158,12400,11241,1160,8750,7692,1057,2816,374,148,5411
2013,Year,County,AL,Alabama,Conecuh County,01035,3329,2976,353,2304,20,2284,1025,15,1010,1544,1785,1924,1378,*,*,*,13,*,*,851,730,587,405,276,199,76,31,1023,421,603,2306,346,354,171,18,85,48,3168,2817,351,3300,2949,351,3197,2844,353,2513,2177,336,1042,183,61,1227
2013,Year,County,AL,Alabama,Coosa County,01037,2334,2038,295,1558,*,*,775,16,759,1107,1227,1562,751,*,*,0,*,*,*,624,528,407,267,192,117,31,17,592,214,378,1742,188,188,130,*,60,*,2180,1885,295,2326,2031,295,2188,1892,295,1676,1393,283,606,127,53,889
2013,Year,County,AL,Alabama,Covington County,01039,9174,8492,682,7070,41,7029,2104,34,2070,4064,5110,8163,934,*,34,*,30,22,368,1714,2117,1727,1349,950,588,241,98,2295,972,1323,6879,711,786,400,51,211,135,8678,7996,682,9133,8451,682,8719,8037,682,6388,5758,630,2345,365,146,3533
